account_id,account_name,account_type
1,Account 1,savings
2,Account 2,credit
3,Account 3,credit
4,Account 4,credit
5,Account 5,credit
6,Account 6,checking
7,Account 7,savings
8,Account 8,credit
9,Account 9,savings
10,Account 10,checking
11,Account 11,checking
12,Account 12,savings
13,Account 13,savings
14,Account 14,credit
15,Account 15,checking
16,Account 16,savings
17,Account 17,savings
18,Account 18,savings
19,Account 19,checking
20,Account 20,checking
21,Account 21,checking
22,Account 22,credit
23,Account 23,checking
24,Account 24,checking
25,Account 25,credit
26,Account 26,checking
27,Account 27,credit
28,Account 28,checking
29,Account 29,checking
30,Account 30,checking
31,Account 31,checking
32,Account 32,checking
33,Account 33,savings
34,Account 34,checking
35,Account 35,credit
36,Account 36,credit
37,Account 37,savings
38,Account 38,credit
39,Account 39,savings
40,Account 40,checking
41,Account 41,savings
42,Account 42,savings
43,Account 43,checking
44,Account 44,savings
45,Account 45,savings
46,Account 46,savings
47,Account 47,savings
48,Account 48,credit
49,Account 49,credit
50,Account 50,savings
51,Account 51,credit
52,Account 52,checking
53,Account 53,savings
54,Account 54,checking
55,Account 55,credit
56,Account 56,checking
57,Account 57,checking
58,Account 58,checking
59,Account 59,credit
60,Account 60,credit
61,Account 61,credit
62,Account 62,checking
63,Account 63,credit
64,Account 64,checking
65,Account 65,credit
66,Account 66,checking
67,Account 67,credit
68,Account 68,credit
69,Account 69,credit
70,Account 70,checking
71,Account 71,savings
72,Account 72,savings
73,Account 73,checking
74,Account 74,checking
75,Account 75,credit
76,Account 76,checking
77,Account 77,checking
78,Account 78,checking
79,Account 79,credit
80,Account 80,checking
81,Account 81,credit
82,Account 82,savings
83,Account 83,savings
84,Account 84,savings
85,Account 85,savings
86,Account 86,checking
87,Account 87,checking
88,Account 88,checking
89,Account 89,savings
90,Account 90,savings
91,Account 91,checking
92,Account 92,checking
93,Account 93,savings
94,Account 94,savings
95,Account 95,credit
96,Account 96,savings
97,Account 97,savings
98,Account 98,savings
99,Account 99,checking
100,Account 100,credit
