account_id,account_name,account_type
1,Account 1,savings
2,Account 2,credit
3,Account 3,savings
4,Account 4,credit
5,Account 5,credit
6,Account 6,credit
7,Account 7,checking
8,Account 8,checking
9,Account 9,checking
10,Account 10,checking
11,Account 11,checking
12,Account 12,credit
13,Account 13,credit
14,Account 14,savings
15,Account 15,checking
16,Account 16,checking
17,Account 17,credit
18,Account 18,checking
19,Account 19,credit
20,Account 20,checking
21,Account 21,checking
22,Account 22,checking
23,Account 23,savings
24,Account 24,checking
25,Account 25,checking
26,Account 26,checking
27,Account 27,savings
28,Account 28,credit
29,Account 29,checking
30,Account 30,savings
31,Account 31,checking
32,Account 32,savings
33,Account 33,savings
34,Account 34,savings
35,Account 35,savings
36,Account 36,checking
37,Account 37,savings
38,Account 38,savings
39,Account 39,savings
40,Account 40,savings
41,Account 41,checking
42,Account 42,credit
43,Account 43,checking
44,Account 44,savings
45,Account 45,credit
46,Account 46,checking
47,Account 47,savings
48,Account 48,savings
49,Account 49,credit
50,Account 50,savings
51,Account 51,savings
52,Account 52,checking
53,Account 53,credit
54,Account 54,credit
55,Account 55,savings
56,Account 56,credit
57,Account 57,checking
58,Account 58,credit
59,Account 59,savings
60,Account 60,savings
61,Account 61,credit
62,Account 62,savings
63,Account 63,checking
64,Account 64,checking
65,Account 65,savings
66,Account 66,credit
67,Account 67,savings
68,Account 68,savings
69,Account 69,checking
70,Account 70,checking
71,Account 71,credit
72,Account 72,checking
73,Account 73,checking
74,Account 74,credit
75,Account 75,checking
76,Account 76,credit
77,Account 77,savings
78,Account 78,credit
79,Account 79,savings
80,Account 80,checking
81,Account 81,credit
82,Account 82,checking
83,Account 83,savings
84,Account 84,credit
85,Account 85,savings
86,Account 86,checking
87,Account 87,savings
88,Account 88,savings
89,Account 89,savings
90,Account 90,savings
91,Account 91,credit
92,Account 92,credit
93,Account 93,credit
94,Account 94,credit
95,Account 95,checking
96,Account 96,checking
97,Account 97,credit
98,Account 98,checking
99,Account 99,checking
100,Account 100,credit
